host,country,isolation,collection_date
Homo sapiens,Honduras,amniotic fluid,2016/05/26
Homo sapiens,Japan,,2016
,,,
Mus musculus,,,
Homo sapiens,Brazil,,2017/06/29
Homo sapiens,Japan,,2017
Simiiformes,,,
Simiiformes,Uganda,,1947
Homo sapiens,Japan,blood,2016/04/21
Homo sapiens,Japan,urine,2016/11/22
Homo sapiens,Japan,,2016/05/20
Homo sapiens,Honduras,,2016/01/06
Homo sapiens,Brazil,blood,2015/03/01
Tissue culture cells,Brazil,brain,2015/03
Homo sapiens,Brazil,blood,2015/06/01
Homo sapiens,Guinea,,2018/08
Homo sapiens,Brazil,,2016/02/01
Homo sapiens,French Guiana,urine,2015/12
Homo sapiens,India,blood,2018/09/18
Homo sapiens,French Polynesia,blood,2014/01
Homo sapiens,French Polynesia,blood,2013/11
Homo sapiens,French Polynesia,blood,2014/01
Homo sapiens,French Polynesia,blood,2014/01
Homo sapiens,French Polynesia,blood,2013/12
Homo sapiens,French Polynesia,blood,2013/12
Homo sapiens,French Polynesia,blood,2014/01
Homo sapiens,French Polynesia,blood,2013/12
Homo sapiens,French Polynesia,blood,2013/12
Homo sapiens,Honduras,,2016/04/16
Homo sapiens,China,blood,2019/07/01
Homo sapiens,India,blood,2018/10/10
Homo sapiens,India,blood,2018/10/15
Aedes aegypti,Mexico,pooled insects,2016
Mus musculus,,brain,
Mus musculus,Colombia,,2016/01/17
Homo sapiens,Brazil,,2015/12/01
Homo sapiens,Canada,,2016
Homo sapiens,Canada,,2016
Homo sapiens,Canada,,2016
Homo sapiens,Canada,,2016
Homo sapiens,South Korea,urine,2016/04
Homo sapiens,Brazil,blood,2015/12/08
Homo sapiens,Brazil,blood,2016/01/08
Homo sapiens,Brazil,blood,2016/01/30
Aedes africanus,Central African Republic,,1976
Aedes opok,Central African Republic,,1980
Aedes africanus,Central African Republic,,1976/07/01
Aedes aegypti,Colombia,,2016/01/29
Aedes africanus,Senegal,,1984
Homo sapiens,Thailand,,2016/11/30
Homo sapiens,Thailand,placenta,2016/11/30
Homo sapiens,Thailand,brain,2017/10/01
Homo sapiens,Brazil,blood,2016/01/08
Homo sapiens,Brazil,blood,2015/12/09
Homo sapiens,Brazil,blood,2015/12/11
Homo sapiens,Brazil,blood,2015/12/11
Homo sapiens,Brazil,,2016/01/11
Homo sapiens,Brazil,,2016/02/29
Homo sapiens,Brazil,,2016/04/05
Homo sapiens,Brazil,,2015/07/01
Homo sapiens,Brazil,,2015
Homo sapiens,Brazil,,2015
Homo sapiens,Brazil,amniotic fluid,2015/11/30
Homo sapiens,Italy,,2016/03/06
